,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
250,namatanai,100,PG,1588465836,86,-3.67,152.43,80.04,13.62
251,batagay-alyta,20,RU,1588465855,84,67.8,130.41,16.83,1.9
252,gushikawa,90,JP,1588465975,88,26.35,127.87,80.6,11.41
253,gamba,83,GA,1588465573,92,-2.65,10.0,78.01,7.23
254,najran,61,SA,1588465840,35,17.49,44.13,84.2,6.35
255,wattegama,0,LK,1588465975,85,6.8,81.48,77.7,1.86
256,srednekolymsk,100,RU,1588465511,96,67.45,153.68,32.54,8.14
257,zhaoyang,24,CN,1588465976,53,42.68,126.03,68.22,7.99
258,mae sai,75,TH,1588465976,100,20.43,99.88,73.4,2.24
259,hasaki,75,JP,1588465504,64,35.73,140.83,75.0,9.17
260,teluk nibung,100,ID,1588465976,91,3.0,99.82,78.96,4.29
261,fayaoue,13,NC,1588465581,78,-20.65,166.53,78.48,4.45
262,gat,0,IL,1588465847,38,31.61,34.76,57.99,1.32
263,kalabo,0,ZM,1588465528,42,-14.97,22.68,63.63,3.22
264,lorengau,99,PG,1588465518,79,-2.02,147.27,83.55,2.13
265,avera,1,US,1588465525,47,33.19,-82.53,75.2,4.74
266,sorochinsk,0,RU,1588465977,73,52.43,53.16,40.21,7.78
267,loubomo,59,CG,1588465977,87,-4.2,12.67,73.85,2.46
268,sydney,20,AU,1588465843,44,-33.87,151.21,61.0,17.22
269,loding,75,NO,1588465978,88,67.3,14.75,39.2,8.05
270,hare bay,90,CA,1588465978,93,48.85,-54.01,48.2,19.46
271,banjar,75,ID,1588465978,94,-8.19,114.97,80.6,2.24
272,altay,24,CN,1588465978,21,47.87,88.12,62.11,1.92
273,goiatuba,0,BR,1588465978,65,-18.01,-49.35,64.09,1.36
274,trairi,67,BR,1588465739,92,-3.28,-39.27,77.18,6.11
275,inongo,100,CD,1588465979,83,-1.95,18.27,72.75,5.3
276,damghan,100,IR,1588465979,41,36.17,54.35,59.41,7.72
277,grindavik,0,IS,1588465528,59,63.84,-22.43,33.8,11.41
278,annemasse,75,FR,1588465979,93,46.19,6.24,51.8,2.24
279,tuatapere,83,NZ,1588465541,86,-46.13,167.68,53.31,4.99
280,mehamn,61,NO,1588465578,94,71.04,27.85,32.34,8.86
281,broome,90,US,1588465823,41,42.25,-75.83,62.01,3.36
282,narsaq,100,GL,1588465513,90,60.92,-46.05,33.8,1.12
283,marawi,100,PH,1588465554,71,8.0,124.29,80.01,4.0
284,rawson,59,AR,1588465521,52,-43.3,-65.1,61.99,23.67
285,hue,20,VN,1588465980,88,16.47,107.6,78.8,2.24
286,papara,29,BR,1588465980,83,-3.98,-38.73,82.0,5.82
287,coruripe,94,BR,1588465981,83,-10.13,-36.18,77.81,7.11
288,severo-kurilsk,100,RU,1588465507,92,50.68,156.12,40.03,14.81
